prompt,mixtral-8x7b-instruct-v0.1,gpt-4-1106-preview
"Worldwide, 30 year old men have spent 10 years in school, on average. How many years have women of the same age spent in school, as of 2020?
A. 12 years
B. 9 years
C. 6 years
D. 3 years
Answer:",True,True
"As of 2017, the share of deaths in Greenland by suicide is about
A. 0.90%
B. 1.80%
C. 3.60%
D. 7.20%
Answer:",False,False
"As of 2019, about what percentage of people from Russia says homosexuality should be accepted by society?
A. 14%
B. 24%
C. 34%
D. 44%
Answer:",False,True
"As of 2019, about what percentage of Americans say the relationship between the U.S. and Germany is good?
A. 60%
B. 75%
C. 90%
D. 45%
Answer:",True,True
"As of 2019, about what percentage of Americans say it is very important to have free media in our country without government/state censorship?
A. 50%
B. 60%
C. 70%
D. 80%
Answer:",False,False
"In 1987 during Iran Contra what percent of Americans believe Reagan was witholding information?
A. 2%
B. 25%
C. 50%
D. 75%
Answer:",False,True
"In Sub-Saharan Africa, as of 2020,
A. no nation has been able to grow in the past years.
B. the Democratic Republic of Congo has become poorer than it initially was in 1980.
C. some countries have had relatively significant growth rates.
D. some countries have had relatively significant growth rates, but the Democratic Republic of Congo has become poorer than it initially was in 1980.
Answer:",False,False
"World Bank data show that in 1995, the poorest 20% of households accounted for 7.5% of household income in Niger, the next 20% of households accounted for 11.8% of income, the middle 20% accounted for 15.5% of income, the second richest 20% accounted for 21.1% of income, and the top 20% accounted for 44.1% of income. What was the cumulative income share of the bottom 60% of households in Niger?
A. 15.50%
B. 34.80%
C. 48.10%
D. 65.20%
Answer:",False,True
"How many children between the ages of 5-14 worked globally as of 2012?
A. 5 million
B. 30 million
C. 150 million
D. 500 million
Answer:",True,True
"Different less developed countries have different levels of secondary school enrollment. Some countries with high secondary-school enrollment are, as of 2020,
A. Colombia, Peru, Uruguay, and Costa Rica.
B. Bhutan, Niger, Cambodia, and Costa Rica.
C. Uruguay, Costa Rica, Timor-Leste, and Pakistan.
D. Bhutan, Cambodia, Uruguay and Costa Rica.
Answer:",False,True
"The percentage of children in Vietnam (age 8) who reported physical punishment by teachers in the past week in 2009 was about what?
A. 10%
B. 20%
C. 40%
D. 80%
Answer:",False,False
"The percentage of children in India (age 8) who reported physical punishment by teachers in the past week in 2009 was about what?
A. 38%
B. 58%
C. 78%
D. 98%
Answer:",True,False
"Consider the following statements: (1) In every country, people think other individuals in their country are less happy than they actually are. (2) In the United States, women’s happiness has increased both absolutely and relative to men. Which of these statements is True/False?
A. True, True
B. True, False
C. False, True
D. False, False
Answer:",False,True
"In 2017, about how many people died from terrorism globally?
A. 260
B. 2,600
C. 26,000
D. 260,000
Answer:",True,True
"In 1935 roughly how many Americans were in favor of Social Security act?
A. 90%
B. 70%
C. 50%
D. 30%
Answer:",True,False
"Which of the following countries emitted the most CO2 per capita in 2017?
A. Japan
B. Canada
C. Russia
D. Iran
Answer:",False,True
"As of 2019, about what percentage of Indians say it is necessary to believe in God in order to be moral and have good values?
A. 59%
B. 69%
C. 79%
D. 89%
Answer:",False,True
"What is the percentage of children aged 13-15 in China who reported being in a physical fight at school, one or more times during the past 12 months as of 2015?
A. 9%
B. 19%
C. 39%
D. 59%
Answer:",True,False
"The percentage of children in Ethiopia (age 8) who reported physical punishment by teachers in the past week in 2009 was about what?
A. 18%
B. 38%
C. 58%
D. 78%
Answer:",False,False
"As of 2018, about what percentage of people from Tunisia say that having an increasing number of people of many different races, ethnic groups and nationalities in their country makes it a better place to live (as opposed to worse or no difference)?
A. 24%
B. 39%
C. 54%
D. 69%
Answer:",False,False
"As of 2015, the global fertility rate was about
A. 1.5 children per woman
B. 2.5 children per woman
C. 3.5 children per woman
D. 4.5 children per woman
Answer:",True,True
"What is the median international income as of 2020?
A. $300 
B. $1,000 
C. $10,000 
D. $30,000 
Answer:",False,True
"Before being reelected for a third term as president how many Americans approved of running a third time?
A. 20%
B. 40%
C. 60%
D. 80%
Answer:",False,False
"As of 2019, about what percentage of Italians say it is very important to have free media in our country without government/state censorship?
A. 41%
B. 56%
C. 71%
D. 86%
Answer:",True,False
"Public spending on education in the world is about what percentage of global GDP as of 2017?
A. 1%
B. 2%
C. 4%
D. 8%
Answer:",False,True
"As of 2013, which of the following countries had the highest per capita rate of homelessness?
A. US
B. Chile
C. Ireland
D. Spain
Answer:",False,False
"Overall, the growth rate of average incomes in less developed countries between 1960 and 1995
A. was approximately zero
B. exceeded that of high income countries
C. exceeded that of Britain during the industrial revolution
D. was approximately 3.0% per year
Answer:",False,False
"As of 2015, about what percentage of the world’s land area is forested?
A. 15%
B. 30%
C. 45%
D. 60%
Answer:",True,True
"The greatest population growth rate has taken place
A. in Africa, which is the poorest region of the world with the lowest overall economic growth.
B. in Asia, which is the poorest region of the world with a steady overall economic growth.
C. in Asia, which is the poorest region of the world with the lowest overall economic growth.
D. in Africa, which is the poorest region of the world with a steady overall economic growth.
Answer:",False,False
"The global HIV/AIDS death rate is highest for which of these age groups?
A. Under 5
B. 14-May
C. 15-49
D. over 50
Answer:",True,True
"As of 2015, agriculture made up about what percentage of total US GDP?
A. 1%
B. 3%
C. 9%
D. 20%
Answer:",False,True
"As of 2017, what percentage of Indians live in urban areas?
A. 19%
B. 34%
C. 49%
D. 64%
Answer:",True,True
"Consider the following statements: (1) As countries get richer, the population tends to report higher average life satisfaction. (2) Important life events such as marriage or divorce do affect our happiness, but have surprisingly little long-term impact. Which of these statements is True/False, as of 2020?
A. True, True
B. True, False
C. False, True
D. False, False
Answer:",True,True
"At its peak, what was the approximate difference in approval of school desegration from the South and the rest of the U.S.?
A. 80%
B. 40%
C. -40%
D. -80%
Answer:",False,True
"As of 2013, share of people in the United States who think political parties are corrupt is
A. 36%
B. 56%
C. 76%
D. 96%
Answer:",False,True
"Which of the following countries invested the largest fraction of its GDP in renewable energy in 2015?
A. China
B. Japan
C. Chile
D. India
Answer:",True,True
"As of 2020, about how much do you need to make annually to be among the richest one percent in the world?
A. $150,000 
B. $75,000 
C. $35,000 
D. $15,000 
Answer:",True,True
"In 1943 how many Americans believed in the Holocaust?
A. 30%
B. 50%
C. 70%
D. 90%
Answer:",False,False
"Which of the following countries emitted the most CO2 in 2017?
A. Canada
B. Russia
C. Iran
D. Japan
Answer:",False,False
"At the time of independence, there were already hundreds of thousands of university graduates in ____, but hardly any at all in ____.
A. India, Congo
B. India, South Korea
C. Congo, South Korea
D. South Korea, India
Answer:",False,True
"As of 2013, share of people in the India who think political parties are corrupt is
A. 26%
B. 46%
C. 66%
D. 86%
Answer:",False,True
"As of 2019, about what percentage of French people say God plays an important role in their life?
A. 11%
B. 31%
C. 51%
D. 71%
Answer:",False,False
"As of 2017, the share of GDP spent on the military by the United States is about
A. 1%
B. 3%
C. 6%
D. 10%
Answer:",False,True
"As of 2017, the share of global deaths by suicide is about
A. 0.70%
B. 1.40%
C. 2.80%
D. 5.60%
Answer:",True,True
"Many countries that became independent after World War II found that the legacy of colonialism hindered their economic development. The list of hindrances included
A. artificial political boundaries that covered diverse ethnic groups with little in common
B. inadequate access to higher education and training for nationals under the colonial administration
C. control of domestic commerce by foreign minority groups which had been brought in by the colonial power
D. all of the above
Answer:",True,True
"Which of the following mental disorders is most prevalent in the world?
A. Bipolar disorder
B. Schizophrenia
C. Alcohol use disorders
D. Anxiety disorders
Answer:",True,True
"As of 2017, how many people in the world have some access to electricity?
A. 60%
B. 70%
C. 80%
D. 90%
Answer:",True,False
"Before Nixon resigned how many believed he should be removed from office?
A. 79%
B. 98%
C. 33%
D. 57%
Answer:",False,True
